Key,english,japanese,german

------------------Entities---------------------------

vehicleBrownHorse,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]","[e7a729]Gezähmtes braunes Pferd[-]"
vehicleBlackHorse,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]","[e7a729]Gezähmtes schwarzes Pferd[-]"
vehicleYellowHorse,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黄)[-]","[e7a729]Gezähmtes gelbes Pferd[-]"
vehicleAlbinoHorse,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]","[e7a729]Gezähmtes Albino-Pferd[-]"
vehicleCreamHorse,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]","[e7a729]Gezähmtes Sahnepferd[-]"
vehicleMidnightHorse,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]","[e7a729]Gezähmtes Mitternachtspferd[-]"
vehicleGrayHorse,"[e7a729]Tamed Gray Horse[-]","[e7a729]テイム済みの馬(灰)[-]","[e7a729]Gezähmtes graues Pferd[-]"

vehicleT2BrownHorse,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]","[e7a729]Gezähmtes braunes Pferd[-]"
vehicleT2BlackHorse,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]","[e7a729]Gezähmtes schwarzes Pferd[-]"
vehicleT2YellowHorse,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黄)[-]","[e7a729]Gezähmtes gelbes Pferd[-]"
vehicleT2AlbinoHorse,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]","[e7a729]Gezähmtes Albino-Pferd[-]"
vehicleT2CreamHorse,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]","[e7a729]Gezähmtes Sahnepferd[-]"
vehicleT2MidnightHorse,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]","[e7a729]Gezähmtes Mitternachtspferd[-]"
vehicleT2GrayHorse,"[e7a729]Tamed Gray Horse[-]","[e7a729]テイム済みの馬(灰)[-]","[e7a729]Gezähmtes graues Pferd[-]"

animalBrownHorse,"Wild Brown Horse","野生の馬(茶)","Wildes braunes Pferd"
